Site Name,Field visit date,Field task,Q Method,Stage (ft),Measured Q (cfs)
DanaFk@BugCamp,5/18/2022,,ADCP,1.86,163
DanaFk@BugCamp,6/28/2022,,ADV,1.15,25.5
DanaFk@BugCamp,7/26/2022,,ADV,0.92,6.75
LyellAbvTB,7/26/2022,,ADV,9.23,16.56
LyellAbvTB,5/23/2022,,ADCP,10.445,222.3
LyellBlwMaclure,5/25/2022,,Salt Dilution,7.61,55.86795245
LyellBlwMaclure,7/28/2022,,Salt Dilution,7.18,20.46739645
LyellBlwMaclure,5/25/2022,,Salt Dilution,7.6,53.81212452
LyellBlwMaclure,7/28/2022,,Salt Dilution,7.155,18.80139712
Tuolumne@120,5/17/2022,,ADCP,5.03,444
Tuolumne@120,8/2/2022,,ADCP,3.145,58
